"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 19:58:17 MSK 2021","Sun Aug 22 19:58:25 MSK 2021","7733","test","test_add_contact","test_add_contact[None","","","test_add_contact[None::]",""
"passed","Sun Aug 22 19:59:22 MSK 2021","Sun Aug 22 19:59:28 MSK 2021","5403","test","test_del_contact","","","","test_delete_some_contact",""
"passed","Sun Aug 22 19:59:30 MSK 2021","Sun Aug 22 19:59:36 MSK 2021","5854","test","test_modify_contact","","","","test_modify_some_contact",""
"passed","Sun Aug 22 19:59:17 MSK 2021","Sun Aug 22 19:59:18 MSK 2021","914","test","test_add_group","","","","test_add_group[None:nameUjJ7L:headerl69DiHNoNwnhPy:footer6wuGfd]",""
"passed","Sun Aug 22 19:59:04 MSK 2021","Sun Aug 22 19:59:14 MSK 2021","9681","test","test_add_contact","","","","test_add_contact[None:firstnamelTnHnWV:lastname]",""
"passed","Sun Aug 22 19:59:16 MSK 2021","Sun Aug 22 19:59:16 MSK 2021","897","test","test_add_group","","","","test_add_group[None:namefU:header3dNU1GvQorpjVx:footerAQCBm0cm]",""
"passed","Sun Aug 22 19:59:42 MSK 2021","Sun Aug 22 19:59:43 MSK 2021","1664","test","test_phones","","","","test_phones_on_home_page",""
"passed","Sun Aug 22 19:59:41 MSK 2021","Sun Aug 22 19:59:41 MSK 2021","448","test","test_modify_group","","","","test_modify_some_group_header",""
"passed","Sun Aug 22 19:59:21 MSK 2021","Sun Aug 22 19:59:22 MSK 2021","906","test","test_contact_in_group","","","","test_delete_contact_from_some_group",""
"passed","Sun Aug 22 19:59:39 MSK 2021","Sun Aug 22 19:59:40 MSK 2021","1218","test","test_modify_group","","","","test_modify_some_group",""
"passed","Sun Aug 22 19:59:14 MSK 2021","Sun Aug 22 19:59:15 MSK 2021","973","test","test_add_group","test_add_group[None","","","test_add_group[None:::]",""
"passed","Sun Aug 22 19:59:15 MSK 2021","Sun Aug 22 19:59:16 MSK 2021","900","test","test_add_group","","","","test_add_group[None:namePB:headergtDSB6pG:footerj]",""
"passed","Sun Aug 22 19:59:29 MSK 2021","Sun Aug 22 19:59:30 MSK 2021","1686","test","test_home_page_info","","","","test_home_page_info_compare_with_edit_page",""
"passed","Sun Aug 22 19:58:25 MSK 2021","Sun Aug 22 19:58:35 MSK 2021","9752","test","test_add_contact","","","","test_add_contact[None:firstnamei5b6AZNCK:lastname06]",""
"passed","Sun Aug 22 19:59:17 MSK 2021","Sun Aug 22 19:59:17 MSK 2021","892","test","test_add_group","","","","test_add_group[None:name:headerhWpimYhEZ82:footerk3jggTI]",""
"passed","Sun Aug 22 19:59:28 MSK 2021","Sun Aug 22 19:59:29 MSK 2021","484","test","test_del_group","","","","test_delete_some_group",""
"passed","Sun Aug 22 19:59:19 MSK 2021","Sun Aug 22 19:59:21 MSK 2021","1221","test","test_contact_in_group","","","","test_add_some_contact_to_some_group",""
"passed","Sun Aug 22 19:58:35 MSK 2021","Sun Aug 22 19:58:44 MSK 2021","9724","test","test_add_contact","","","","test_add_contact[None:firstname:lastnameVeFc0Lr]",""
"passed","Sun Aug 22 19:59:37 MSK 2021","Sun Aug 22 19:59:38 MSK 2021","1583","test","test_modify_contact","","","","test_modify_contact_birthdate",""
"passed","Sun Aug 22 19:59:30 MSK 2021","Sun Aug 22 19:59:30 MSK 2021","2","test","test_home_page_info","","","","test_home_page_info_compare_with_database",""
"passed","Sun Aug 22 19:58:54 MSK 2021","Sun Aug 22 19:59:04 MSK 2021","9686","test","test_add_contact","","","","test_add_contact[None:firstnameLGo:lastnamef]",""
"passed","Sun Aug 22 19:59:18 MSK 2021","Sun Aug 22 19:59:19 MSK 2021","908","test","test_add_group","","","","test_add_group[None:nameWeB:headerRM:footermbGTO17]",""
"passed","Sun Aug 22 19:59:41 MSK 2021","Sun Aug 22 19:59:42 MSK 2021","421","test","test_modify_group","","","","test_modify_some_group_footer",""
"passed","Sun Aug 22 19:58:44 MSK 2021","Sun Aug 22 19:58:54 MSK 2021","9692","test","test_add_contact","","","","test_add_contact[None:firstnamey6O4f:lastname2yMdi89I]",""
"passed","Sun Aug 22 19:59:40 MSK 2021","Sun Aug 22 19:59:41 MSK 2021","648","test","test_modify_group","","","","test_modify_some_group_name",""
